Back to front page,A2. Population of England and Great Britain 1086-1870,
,,
,"For a summary overview of the methodology and construction of this database, see:",
," Broadberry, Stephen, Bruce M.S. Campbell, Alexander Klein, Mark Overton and Bas van Leeuwen (2015), British Economic Growth, 1270-1870, Cambridge: Cambridge University Press",
,http://www.cambridge.org/gb/academic/subjects/history/economic-history/british-economic-growth-12701870?format=PB,
,"When using this data, please cite this source. ",
,,
Year,"Population of England, millions","Population of Great Britain, millions"
1731,5.41,6.57
1732,5.39,6.60
1733,5.44,6.64
1734,5.52,6.70
1735,5.56,6.76
1736,5.60,6.82
1737,5.63,6.86
1738,5.65,6.89
1739,5.68,6.94
1740,5.71,6.97
1741,5.72,6.99
1742,5.66,6.92
1743,5.66,6.92
1744,5.70,6.96
1745,5.75,7.04
1746,5.78,7.08
1747,5.81,7.11
1748,5.82,7.13
1749,5.85,7.17
1750,5.89,7.22
1751,5.92,7.27
1752,5.96,7.31
1753,6.01,7.36
1754,6.05,7.41
1755,6.10,7.47
1756,6.15,7.52
1757,6.18,7.56
1758,6.20,7.57
1759,6.22,7.60
1760,6.26,7.64
1761,6.31,7.70
1762,6.34,7.73
1763,6.33,7.71
1764,6.36,7.75
1765,6.42,7.81
1766,6.45,7.84
1767,6.47,7.86
1768,6.49,7.88
1769,6.53,7.93
1770,6.58,7.98
1771,6.62,8.03
1772,6.67,8.09
1773,6.73,8.15
1774,6.78,8.21
1775,6.85,8.30
1776,6.91,8.38
1777,6.98,8.46
1778,7.05,8.54
1779,7.12,8.62
1780,7.15,8.67
1781,7.21,8.76
1782,7.23,8.83
1783,7.28,8.85
1784,7.30,8.93
1785,7.37,9.01
1786,7.43,9.11
1787,7.51,9.21
1788,7.59,9.31
1789,7.67,9.43
1790,7.76,9.54
1791,7.85,9.66
1792,7.94,9.77
1793,8.02,9.87
1794,8.10,9.96
1795,8.17,10.07
1796,8.26,10.17
1797,8.33,10.31
1798,8.44,10.43
1799,8.53,10.55
1800,8.62,10.61
1801,8.67,10.69
1802,8.73,10.77
1803,8.83,10.90
1804,8.95,11.05
1805,9.09,11.22
1806,9.23,11.38
1807,9.37,11.54
1808,9.50,11.69
1809,9.62,11.84
1810,9.74,11.99
1811,9.86,12.15
1812,9.99,12.33
1813,10.14,12.53
1814,10.27,12.73
1815,10.46,12.94
1816,10.63,13.16
1817,10.80,13.36
1818,10.96,13.57
1819,11.12,13.77
1820,11.27,13.97
1821,11.46,14.21
1822,11.65,14.45
1823,11.84,14.68
1824,12.02,14.90
1825,12.21,15.11
1826,12.37,15.31
1827,12.53,15.51
1828,12.73,15.73
1829,12.90,15.94
1830,13.07,16.15
1831,13.25,16.37
1832,13.39,16.56
1833,13.57,16.75
1834,13.76,16.97
1835,13.92,17.20
1836,14.10,17.43
1837,14.26,17.63
1838,14.42,17.84
1839,14.59,18.09
1840,14.77,18.33
1841,14.94,18.55
1842,15.13,18.78
1843,15.31,19.02
1844,15.51,19.25
1845,15.69,19.48
1846,15.91,19.71
1847,16.04,19.95
1848,16.17,20.18
1849,16.36,20.41
1850,16.51,20.65
1851,16.74,20.88
1852,16.95,21.11
1853,17.14,21.34
1854,17.35,21.58
1855,17.52,21.81
1856,17.76,22.04
1857,18.02,22.27
1858,18.23,22.50
1859,18.44,22.73
1860,18.68,22.96
1861,18.94,23.19
1862,19.20,23.47
1863,19.45,23.75
1864,19.69,24.04
1865,19.93,24.33
1866,20.17,24.63
1867,20.43,24.92
1868,20.72,25.22
1869,20.98,25.53
1870,21.24,25.84
